ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,walking_cycling,M_motocycle,M_car,tricycle_taxi,taxi,Secondary_lower,HND,Degree,Posgraduate
273,1,10,25,0,28,1,1,0,0,1.2,0.12,1,0,1,0,0,0,0,1,0,0,0
274,1,6,60,0,40,0,5,3,0,0.85,0.1,1,0,0,1,0,0,0,1,0,0,0
275,1,0.5,5,0,34,0,4,2,0,1.25,0.03,1,1,0,0,0,0,1,0,1,0,0
276,1,10,20,0,31,0,4,2,0,1.12,0.1,1,1,0,1,0,0,0,0,1,0,0
277,1,7,15,0,41,0,5,3,0,1.32,1,1,0,0,1,0,0,0,0,1,0,0
278,1,10,10,1,44,0,5,3,0,1.45,0.1,1,1,0,1,0,0,0,0,1,0,0
279,1,10,20,1,40,0,6,4,0,1.2,0.1,1,0,0,1,0,0,0,0,1,0,0
280,1,7,30,0,35,0,3,1,0,1.15,0.06,1,0,0,1,0,0,0,0,1,0,0
281,1,8,30,0,30,0,3,1,0,0.75,0.1,1,0,0,1,0,0,0,1,0,0,0
282,1,7,10,1,40,0,5,3,1,1.2,0.1,1,0,0,1,0,0,0,0,1,0,0
283,1,6,15,1,42,0,5,3,0,1.05,0.1,1,0,0,1,0,0,0,0,1,0,0
284,1,3.4,20,0,56,0,7,4,1,1.9,0.24,1,0,1,0,0,0,0,0,1,0,0
285,0,2,8,0,45,0,5,4,1,1.563,0.045,0,1,0,1,0,0,0,0,1,0,0
286,1,6,25,0,47,0,3,1,1,1.75,0.1,1,1,0,1,0,0,0,0,1,0,0
287,1,1,7,0,58,1,5,2,1,1.5,0,1,1,0,0,0,0,1,0,1,0,0
288,1,6.4,20,0,34,0,5,4,1,2.2,0.2,1,1,1,0,0,0,0,0,0,1,0
289,1,4,10,1,38,0,4,2,0,1,0.1,1,0,0,1,0,0,0,0,1,0,0
290,1,8,20,1,34,1,1,0,0,1.4,0.1,0,0,0,1,0,0,0,0,1,0,0
291,0,6.5,30,1,30,1,1,0,0,1.3,0.3,1,1,0,1,0,0,0,0,1,0,0
292,1,6,30,1,36,0,3,1,0,1.12,0.06,1,1,0,1,0,0,0,0,1,0,0
293,0,4.3,15,0,35,0,5,3,0,0.65,0.06,1,1,0,0,1,0,0,1,0,0,0
294,0,5.4,20,1,28,0,2,0,0,0.5,0.09,1,1,0,0,0,1,0,1,0,0,0
295,0,2.3,12,0,34,1,2,0,0,0.45,0.004,1,0,0,0,1,0,0,1,0,0,0
296,1,3,15,0,34,1,1,0,0,0.53,0.06,1,1,0,0,1,0,0,1,0,0,0
297,1,2.6,6,0,32,0,5,2,0,0.7,0.06,1,0,0,1,0,0,0,1,0,0,0
298,1,15,20,1,26,1,2,7,0,0.52,0.07,1,1,1,0,0,0,0,1,0,0,0
299,1,5.2,30,0,33,0,6,4,1,1.65,0.8,0,0,0,1,0,0,0,0,1,0,0
300,0,7.8,23,1,23,1,6,3,0,1.3,0.12,1,1,0,0,1,0,0,0,1,0,0
301,0,4.1,35,1,24,1,1,0,0,0.72,0.208,0,0,0,0,0,0,1,1,0,0,0
302,1,2.6,30,1,27,0,3,0,1,0.4,0.35,0,1,0,0,0,0,1,1,0,0,0
303,0,1.7,20,0,29,0,4,3,0,0.5,0.06,1,1,0,1,0,0,0,1,0,0,0
304,1,3.7,15,1,27,1,6,1,1,1.5,0.06,0,0,0,1,0,0,0,1,0,0,0
305,1,1,15,1,25,1,6,3,0,0.75,0.01,1,0,0,0,0,0,1,1,0,0,0
306,0,10,15,1,31,1,1,0,1,1.8,0.3,1,0,0,1,0,0,0,1,0,0,0
307,1,10,30,0,26,1,1,0,0,0.7,0.05,0,1,0,0,0,1,0,1,0,0,0
308,0,5,15,0,27,0,3,0,0,0.7,0.024,1,0,0,1,0,0,0,1,0,0,0
309,1,4.5,18,0,27,1,1,1,0,0.7,0.04,1,1,0,0,0,1,0,1,0,0,0
310,0,8.6,30,0,37,0,3,3,1,1,0.4,1,0,1,0,0,0,0,1,0,0,0
311,0,6.2,25,0,33,0,3,0,1,1.43,0.15,0,0,0,0,1,0,0,0,1,0,0
312,0,1.3,7,0,32,0,5,3,0,0.65,0.2,1,1,0,1,0,0,0,1,0,0,0
313,1,2.6,15,1,32,1,1,0,0,1.25,0.2,1,1,0,1,0,0,0,0,1,0,0
314,0,0.55,5,0,34,0,4,2,0,0.8,0.2,1,1,0,1,0,0,0,1,0,0,0
315,1,8.4,30,1,24,1,1,0,0,0.58,0.1,1,1,0,1,0,0,0,1,0,0,0
316,1,2.8,15,0,32,1,1,0,1,2,0.05,1,1,0,1,0,0,0,1,0,0,0
317,0,6.4,15,0,40,0,5,3,1,2.05,0.35,0,0,1,0,0,0,0,0,0,1,0
318,0,0.95,10,0,38,0,4,3,0,0.75,0.01,1,0,0,0,0,0,1,1,0,0,0
319,0,2.2,8,0,32,1,1,0,0,1.2,0.08,1,1,0,1,0,0,0,0,1,0,0
320,1,5.6,17,0,36,0,4,2,0,1.35,0.4,1,0,1,0,0,0,0,0,1,0,0
321,1,4.1,16,0,38,0,6,4,0,0.45,0.12,0,1,0,0,0,1,0,0,0,0,1
322,1,0.55,6,0,41,0,6,3,1,3.2,0.2,1,0,0,0,0,0,1,0,0,1,0
323,1,0.45,5,1,38,0,5,3,1,2.45,0.08,0,0,0,0,0,0,1,0,0,1,0
324,1,2.8,25,1,41,0,7,4,0,0.85,0.075,1,1,0,1,0,0,0,0,0,0,1
325,0,1.6,10,0,40,1,4,2,0,0.52,0.02,1,1,0,0,0,0,1,0,0,0,1
326,0,10.5,35,1,37,0,3,1,1,3.2,0.45,1,1,1,0,0,0,0,0,0,1,0
327,1,7.2,30,0,27,1,1,0,0,0.75,0.07,1,0,0,1,0,0,0,1,0,0,0
328,1,5.3,20,0,34,1,4,2,0,0.95,0.065,0,1,0,0,0,1,0,1,0,0,0
329,0,6.5,20,1,37,0,4,2,0,1.65,0.085,1,1,0,1,0,0,0,0,1,0,0
330,1,0.4,5,1,41,0,6,3,0,0.54,0.065,1,0,0,1,0,0,0,1,0,0,0
331,1,3.1,8,0,51,0,8,6,1,4.5,0.35,0,0,1,0,0,0,0,0,0,1,0
332,0,3.1,15,0,34,0,4,1,0,0.65,0.05,1,1,0,1,0,0,0,1,0,0,0
333,1,8.4,30,1,53,0,8,3,0,0.45,0.06,0,1,0,1,0,0,0,0,0,0,1
334,0,3.5,15,0,45,1,6,4,0,0.35,0.04,0,1,0,0,0,1,0,0,0,0,1
335,0,0.7,10,1,45,0,5,3,1,2.3,0.15,1,0,0,1,0,0,0,0,0,1,0
336,0,10.7,26,0,32,1,1,0,0,0.95,0.055,1,1,0,0,0,1,0,1,0,0,0
337,0,2.5,15,1,33,0,5,3,1,1.95,0.05,0,0,0,1,0,0,0,0,0,1,0
338,0,7.8,23,1,35,1,3,2,0,1.45,0.12,1,1,0,0,0,1,0,0,1,0,0
339,1,3.4,14,0,25,1,1,0,0,1.42,0.08,0,1,0,0,1,0,0,0,1,0,0
340,1,5.4,15,1,45,0,6,3,1,1.847,0.12,1,1,0,1,0,0,0,0,1,0,0
341,1,5.6,16,1,49,1,5,1,1,1.65,0.25,1,0,1,0,0,0,0,0,1,0,0
342,1,7.8,15,0,39,0,3,1,1,1.95,0.3,1,1,1,0,0,0,0,0,1,0,0
343,1,2.8,13,0,38,1,4,3,0,1.501,0.035,1,1,0,0,0,1,0,1,0,0,0
344,0,1.2,5,1,41,0,5,3,1,2.15,0.25,0,0,1,0,0,0,0,0,0,1,0
345,1,3.7,55,0,23,1,1,1,0,0.75,0,1,1,0,0,0,0,1,1,0,0,0
346,0,3.4,15,0,25,1,1,0,0,0.7,0.09,1,1,0,0,0,1,0,1,0,0,0
347,0,0.75,5,1,43,0,6,4,1,1.85,0.06,1,0,0,1,0,0,0,0,1,0,0
348,1,2.8,10,0,29,0,3,1,0,0.7,0.1,1,1,0,0,1,0,0,1,0,0,0
349,1,3.2,14,1,28,1,1,0,1,0.52,0.095,1,1,0,0,0,1,0,0,0,0,1
350,0,2.7,22,1,30,0,2,0,0,0.92,0.065,1,0,0,1,0,0,0,1,0,0,0
351,0,4.5,33,1,41,0,5,3,1,2.15,0.12,1,1,0,1,0,0,0,0,1,0,0
352,0,3.2,25,0,39,0,5,2,1,1.73,0.12,0,1,0,1,0,0,0,0,1,0,0
353,0,5.3,22,0,36,1,4,2,0,0.48,0.1,0,1,0,0,0,1,0,0,0,0,1
354,1,5.4,20,1,33,0,3,1,0,1.4,0.12,1,0,0,1,0,0,0,0,1,0,0
355,1,5.8,35,1,43,0,6,2,0,1.05,0.14,0,1,0,1,0,0,0,1,0,0,0
356,0,6.2,25,0,34,0,4,2,1,0.45,0.13,0,1,0,0,0,1,0,0,0,0,1
357,1,6.8,55,1,40,0,5,3,0,1.2,0.07,0,0,0,1,0,0,0,0,1,0,0
358,0,6.6,25,0,31,1,1,0,0,0.95,0.15,1,1,0,0,1,0,0,1,0,0,0
359,0,6.4,28,0,37,1,3,2,0,0.92,0.08,0,1,0,0,0,1,0,0,0,0,1
360,1,5.1,25,1,50,0,4,2,1,1.85,0.35,1,0,1,0,0,0,0,0,1,0,0
361,0,5.4,30,1,45,0,6,3,0,1.25,0.1,0,1,1,0,0,0,0,0,1,0,0
362,1,5.5,35,1,35,0,2,0,0,1.4,0.14,0,0,0,1,0,0,0,0,1,0,0
363,0,3.6,20,0,38,0,4,2,0,0.95,0.17,1,1,0,0,0,1,0,1,0,0,0
364,1,1.8,25,1,26,1,1,0,0,1.35,0,1,0,0,0,0,0,1,0,1,0,0
365,0,2.9,12,0,28,1,1,0,0,1.2,0.09,1,0,0,0,1,0,0,0,1,0,0
366,0,6.3,35,0,34,0,4,2,1,1.2,0.15,1,1,0,1,0,0,0,0,1,0,0
367,0,7.5,45,1,48,0,4,2,0,1.75,0.15,1,1,0,1,0,0,0,0,1,0,0
368,0,3.8,35,0,37,0,5,3,0,1.65,0.03,1,0,1,0,0,0,0,0,1,0,0
369,1,10.6,60,1,47,0,4,2,0,1.78,0.15,1,0,0,1,0,0,0,0,1,0,0
370,1,7.4,45,0,24,1,1,0,0,1.6,0.012,1,0,1,0,0,0,0,0,1,0,0
371,0,9.4,35,0,56,0,5,3,1,3.95,0.45,0,0,1,0,0,0,0,0,0,1,0
372,0,6.2,35,1,43,0,6,4,1,4.95,0.35,0,0,1,0,0,0,0,0,0,1,0
373,0,5,25,1,37,0,4,2,0,1.75,0.02,1,1,1,0,0,0,0,0,1,0,0
374,1,5,20,1,27,1,1,0,0,1.45,0.09,1,1,0,1,0,0,0,1,0,0,0
375,1,2.5,15,0,38,0,5,3,1,1.8,0.18,1,1,0,0,1,0,0,0,1,0,0
376,0,3,8,1,32,0,8,3,1,1.5,0.15,1,0,0,1,0,0,0,1,0,0,0
377,1,3,15,1,39,0,5,3,1,2.2,0.08,1,0,0,1,0,0,0,0,0,1,0
378,0,5,10,1,34,1,2,0,1,1.7,0.06,0,1,0,1,0,0,0,0,0,1,0
379,0,2,25,0,32,0,4,2,0,1.6,0.08,1,0,0,1,0,0,0,1,0,0,0
380,1,3.5,15,1,34,0,4,2,1,2,0.15,1,1,0,1,0,0,0,0,1,0,0
381,0,5,10,1,34,0,4,2,1,3.5,0.05,1,1,0,1,0,0,0,0,0,1,0
382,0,6,20,1,33,0,4,2,0,1.6,0.25,1,1,0,1,0,0,0,1,0,0,0
383,1,1.8,15,0,52,1,2,1,0,0.75,0,1,1,0,0,0,0,1,1,0,0,0
384,1,4.1,25,0,26,1,1,0,0,1.2,0.06,1,1,0,0,0,1,0,0,1,0,0
385,0,6.1,32,0,35,0,5,3,0,1.42,0.04,1,1,0,1,0,0,0,0,1,0,0
386,1,0.85,10,1,38,0,4,2,1,2.25,0,1,0,0,0,0,0,1,0,0,1,0
387,0,4.6,15,0,41,0,6,2,1,2.4,0.35,0,1,1,0,0,0,0,0,0,1,0
388,0,9.5,30,1,40,0,5,3,1,1.85,0.45,0,0,1,0,0,0,0,0,1,0,0
389,1,2.5,15,0,28,1,1,0,0,0.45,0.075,0,1,0,0,0,1,0,0,0,0,1
390,1,0.55,5,0,48,0,7,3,1,2.3,0,1,0,0,0,0,0,1,0,1,0,0
391,0,3.7,30,0,45,1,4,1,0,0.65,0.08,0,1,0,0,1,0,0,0,0,0,1
392,1,1.6,15,1,47,0,6,3,0,0.35,0,1,0,0,0,0,0,1,0,0,0,1
393,1,3.4,16,1,32,1,1,0,0,0.85,0.075,1,1,0,0,1,0,0,1,0,0,0
394,0,4.4,25,0,34,1,3,2,0,0.85,0.06,1,1,0,1,0,0,0,1,0,0,0
395,0,8.3,25,0,33,0,4,2,1,2.25,0.25,1,0,1,0,0,0,0,0,0,1,0
396,0,3.8,30,0,29,1,2,1,0,1.2,0.075,1,0,0,1,0,0,0,0,1,0,0
397,0,5.8,30,1,36,0,6,4,0,0.75,0.08,1,1,0,1,0,0,0,0,0,0,1
398,0,6.3,35,1,37,1,4,2,1,1.6,0.06,0,0,0,1,0,0,0,0,1,0,0
399,1,4.3,20,1,46,0,5,1,1,2.5,0.3,1,0,1,0,0,0,0,0,0,1,0
400,1,7.4,40,0,24,1,1,0,0,0.95,0.08,1,1,0,0,0,1,0,1,0,0,0
401,1,4.5,25,1,50,0,6,4,1,2.55,0.35,0,0,1,0,0,0,0,0,0,1,0
402,0,6.4,25,1,48,0,6,2,0,1.4,0.06,1,1,0,1,0,0,0,1,0,0,0
403,0,5.3,25,1,45,0,5,2,0,1.5,0.08,1,0,0,0,0,1,0,0,1,0,0
404,0,6.3,30,1,42,0,5,2,0,1.2,0.085,1,1,0,0,0,1,0,1,0,0,0
405,1,5.8,30,0,34,1,2,1,0,1.15,0.095,0,1,0,0,0,1,0,1,0,0,0
406,0,7.3,25,1,46,0,7,4,1,2.45,0.06,0,1,0,1,0,0,0,0,0,1,0
407,1,8.9,35,1,33,1,2,1,0,0.65,0.085,0,1,0,0,0,1,0,0,0,0,1
408,1,8.3,35,1,28,1,1,0,0,0.9,0.09,1,1,0,0,0,1,0,1,0,0,0
409,0,12.4,45,1,39,0,5,3,1,1.8,0.065,1,1,0,1,0,0,0,0,1,0,0
410,1,8.9,35,0,38,0,5,3,1,2.43,0.3,0,0,1,0,0,0,0,0,0,1,0
411,0,6.5,35,1,44,0,6,2,0,0.65,0.06,1,1,0,1,0,0,0,0,0,0,1
412,1,3.4,35,1,32,1,1,0,0,0.85,0,1,1,0,0,0,0,1,1,0,0,0
413,1,3.4,20,0,35,0,4,2,0,1.6,0.07,0,1,0,0,0,1,0,0,1,0,0
414,0,8.5,45,1,39,0,5,3,1,3.75,0.25,1,0,1,0,0,0,0,0,0,1,0
415,1,5.6,30,1,42,0,7,4,0,0.6,0.03,1,1,1,0,0,0,0,0,0,0,1
416,1,2.5,15,0,45,1,1,0,0,1.5,0.04,1,0,0,1,0,0,0,0,1,0,0
417,0,5.8,15,1,48,0,5,2,1,5.2,0.45,1,0,1,0,0,0,0,0,0,1,0
418,0,6.7,25,0,44,0,4,2,1,3.75,0.35,1,0,1,0,0,0,0,0,0,1,0
419,0,4.3,25,1,25,1,1,0,0,0.8,0,1,0,1,0,0,0,0,1,0,0,0
420,0,8.9,45,1,35,1,1,0,0,1.65,0.05,1,1,0,1,0,0,0,0,1,0,0
421,1,3.9,18,0,20,1,1,0,0,0.45,0.045,1,1,0,0,1,0,0,0,0,0,1
422,1,2.5,15,0,25,1,1,0,0,0.85,0.04,1,1,0,0,0,1,0,1,0,0,0
423,1,0.7,10,0,30,1,1,0,0,0.95,0,1,0,0,0,0,0,1,1,0,0,0
424,0,1.5,15,1,35,0,4,2,0,1.7,0.03,1,0,0,1,0,0,0,0,1,0,0
425,0,3.5,15,0,30,0,2,0,0,0.9,0.04,0,1,0,1,0,0,0,1,0,0,0
426,1,0.6,5,0,27,1,1,0,0,0.85,0,1,0,0,0,0,0,1,1,0,0,0
427,0,3.5,10,1,28,0,3,1,0,0.85,0.045,1,1,0,1,0,0,0,1,0,0,0
428,1,4.8,30,1,58,0,8,2,1,3.5,0.3,0,0,1,0,0,0,0,0,0,1,0
429,1,3.5,15,1,56,0,5,0,1,1.9,0.08,1,1,0,1,0,0,0,1,0,0,0
430,1,1.3,15,0,53,1,5,0,1,2.05,0,0,0,0,0,0,0,1,1,0,0,0
431,1,2.8,14,0,32,1,4,2,0,0.97,0.08,1,1,0,0,1,0,0,1,0,0,0
432,1,3.8,20,0,33,0,3,0,0,0.82,0.085,1,1,0,0,1,0,0,1,0,0,0
433,1,3.3,18,1,35,0,4,2,1,1.76,0.04,1,1,0,1,0,0,0,0,1,0,0
434,1,6.5,30,1,55,0,6,1,1,3.95,0.35,1,0,1,0,0,0,0,0,0,1,0
435,1,5.3,35,0,34,0,2,0,1,2.4,0.05,0,1,0,1,0,0,0,0,1,0,0
436,1,3.4,15,1,44,0,6,3,1,3.5,0.35,1,0,1,0,0,0,0,0,0,1,0
437,1,5.6,25,0,42,0,5,3,1,3.52,0.4,0,0,1,0,0,0,0,0,0,1,0
438,1,6.5,25,1,28,1,1,0,0,0.97,0.045,1,0,1,0,0,0,0,1,0,0,0
439,1,7.2,30,0,28,0,3,0,0,0.72,0.08,1,0,0,0,1,0,0,1,0,0,0
440,0,5,25,0,35,0,4,1,0,0.78,0.075,1,1,0,0,1,0,0,1,0,0,0
441,1,9.4,32,1,32,1,1,0,0,0.52,0.03,1,1,0,0,0,1,0,0,0,0,1
